Move	RPRICE	MPRICE
208.2365	-0.4588	-0.9674
-135.0079	0.1696	0.5470
-92.0971	0.0298	0.0041
1678.5693	-0.9767	-2.0229
78.1506	-0.1906	-0.1444
819.7488	-0.4771	-1.0224
98.3899	-0.5928	-1.1098
1899.3726	-0.8364	-1.4303
171.9331	-0.2564	-0.2675
-103.6621	-0.0082	-0.0897
-100.2766	0.0302	0.0052
-189.8665	0.0218	-0.0155
-173.5579	0.0629	0.0859
-113.6351	0.0483	0.0499
-167.9434	0.0245	-0.0090
-116.4299	0.0527	0.0608
77.8771	0.0249	-0.0079
-90.2786	-0.0558	-0.2075
-128.3535	0.0329	0.0117
756.2876	-0.9613	-1.9847
-70.2502	0.2134	0.8549
604.6204	-0.4892	-1.0427
-26.0888	0.0002	0.1281
630.0820	-0.4879	-1.0394
-104.4224	-0.0112	0.0998
-136.8146	0.0487	0.0510
-181.0714	0.0346	0.0161
-170.0452	0.0567	0.0706
-108.4557	0.0479	0.0488
-109.0460	0.0223	-0.0145
-147.0203	0.0271	-0.0025
-96.4814	0.0430	0.0368
-119.2512	0.0179	-0.0254
46.8260	-0.1676	-0.3894
-71.8336	0.0709	0.1847
-137.6617	0.0090	-0.0472
-94.1225	0.0421	0.0346
-130.8923	0.0170	-0.0275
517.6723	0.0377	0.0237
-57.4114	-0.2521	-0.6930
-166.7889	0.0536	0.0630
8.9033	0.0470	0.0466
406.9528	-0.0293	-0.1421
-99.1792	-0.1912	-0.5424
-127.8400	0.0611	0.0815
-192.5587	0.0284	0.0008
-152.5579	0.0629	0.0859
-173.8661	0.0390	0.0270
-44.4299	-0.1473	-0.3392
-187.7302	0.1075	0.2752
-117.7889	0.0536	0.0630
68.6976	-0.0746	-0.2067
-156.1500	0.0053	-0.0170
-59.1478	0.0545	0.0652
511.2868	-0.5007	-1.0711
-149.6775	0.0435	0.2351
-203.9426	0.0589	0.0761
-166.3784	0.0624	0.0848
401.6212	-0.4548	-0.9576
-164.0099	0.0836	0.3343
-129.5836	0.0580	0.0739
-171.0971	0.0298	0.0041
-175.6094	0.0531	0.0619
-75.7120	0.0509	0.0565
-54.9438	0.0073	-0.2114
-179.5307	0.0278	-0.0812
-197.3500	0.2790	0.4451
-130.2953	0.1634	0.0804
-162.8341	0.1475	0.0411
-120.8337	0.1647	0.0837
76.9607	-0.1569	-0.5696
-182.9000	0.2312	0.3663
425.3715	-0.5309	-1.3052
-42.5270	0.3015	0.6980
189.9599	-0.0913	-0.4546
-149.8663	-0.0696	-0.3223
-210.1448	0.2834	0.4560
314.7305	-0.5318	-1.3074
-165.4489	0.3505	0.8191
-168.5262	0.1541	0.0575
-165.3721	0.1660	0.0869
-119.9363	0.1625	0.0782
-103.0393	0.1431	0.0302
-175.4240	0.1391	0.0204
-179.7053	0.1717	0.1011
-142.0900	0.1678	0.0913
563.3711	-0.5481	-1.3478
-104.0155	0.2438	0.5551
-163.2957	0.1462	0.0378
-106.0132	0.1651	0.0848
121.6528	-0.2635	-0.7860
-188.6291	0.2699	0.5014
-135.2695	0.4682	0.5225
-129.2773	0.0006	-0.3562
526.8074	0.1656	0.0858
0.2616	-0.1427	-0.6767
-159.7572	0.1448	0.0346
-188.4747	0.1638	0.0815
66.7563	-0.2269	-0.6954
-156.8081	0.2875	0.5450
-179.2699	0.1510	0.0502
-115.5048	0.1713	0.1001
-142.5824	0.1395	0.2584
430.7629	-0.6753	-0.6227
-117.7506	0.2124	0.3963
317.8062	-0.8069	-0.9919
-166.4438	0.3292	0.7284
-89.9886	0.1075	0.1590
-104.2200	0.0811	0.0936
-156.7069	0.0921	0.1208
-162.3218	0.1133	0.1732
-128.7833	0.1120	0.1699
328.1394	-0.7826	-0.9460
446.5771	-0.8915	-1.0546
-127.3996	0.4328	1.1188
105.5587	-0.3208	-1.1510
-137.8081	0.2875	0.6291
-167.0568	0.1311	0.5463
-145.2708	0.0891	-0.1447
-135.8072	0.1335	0.5086
268.6844	-0.6303	-0.9018
-105.2523	0.2574	0.6928
-120.6203	0.0654	0.1303
61.7390	-0.1183	0.1506
-54.1814	0.0606	0.0090
62.3539	-0.3395	-0.7569
-152.1304	0.2408	0.1793
-151.9410	0.1576	0.0663
459.8795	-0.5420	-1.3328
-116.1427	0.2883	0.6656
-153.1977	0.1435	0.0314
218.6232	-0.5389	-1.3252
-204.2171	0.3942	0.9275
-143.2742	0.1633	0.0805
-128.1462	0.1532	0.0554
-170.1720	0.1483	0.0434
-137.0690	0.1677	0.0914
30.2896	-0.2504	-0.7536
-173.0641	0.0078	-0.0046
-193.4876	0.3260	0.6012
33.4180	-0.5433	-1.3361
-248.7793	0.4767	1.1315
-161.2484	0.1682	0.0925
-122.0179	0.1602	1.6123
151.3309	-0.7665	0.2877
-85.4621	0.0631	0.1889
-76.9761	-0.0387	0.3563
-26.4892	-0.9497	0.3291
-67.8503	0.0481	0.4031
-50.6981	-0.0187	0.3159
-83.5407	-0.0594	-0.1858
-95.1992	0.0241	-0.6544
297.4743	-0.7602	0.0873
-64.0213	0.2134	0.6362
14.4099	-0.3995	-0.1513
-97.2979	0.1389	0.0209
-86.6714	0.0729	0.1349
-97.4208	0.0673	-0.1081
15.7637	-0.5946	0.1029
-106.0301	0.2570	0.3097
-49.9793	-0.3338	0.1321
-97.9302	0.1696	0.1489
5.4823	-0.3024	0.7894
-36.3841	0.0464	0.2471
-34.6745	-0.0353	-0.4709
-113.3640	0.0623	0.1227
146.8159	-1.0510	0.8638
125.2067	-0.9979	0.1544
148.2341	-0.1593	-0.4823
-32.2735	-0.3137	-0.0389
392.9591	-0.5257	0.8892
57.7837	-0.7415	-0.1830
